"Id","Class"
"2643","AbilityEffectActivationCommand"
"19907","AbilityEffectDeActivationCommand"
"2586","AbilityStopCommand"
"2310","ActivatePortalCommand"
"14222","AddMenuItemHighlightCommand"
"31290","ArenaStatusCommand"
"13718","AssetCreateCommand"
"8437","AssetInfoCommand"
"3397","AssetRemoveCommand"
"15758","AssetTypeModule"
"1995","AsteroidProgressCommand"
"3758","AttackHitCommand"
"28127","AttackLaserRunCommand"
"9360","AttackMissedCommand"
"32205","AttackTypeModule"
"6518","AttributeBoosterUpdateCommand"
"15997","AttributeHitpointUpdateCommand"
"4550","AttributeShieldUpdateCommand"
"4062","AttributeSkillShieldUpdateCommand"
"27262","AudioSettingsModule"
"1421","AvailableModulesCommand"
"4873","BattleStationBuildingStateCommand"
"770","BattleStationBuildingUiInitializationCommand"
"20259","BattleStationErrorCommand"
"30947","BattleStationManagementUiInitializationCommand"
"3062","BattleStationNoClanUiInitializationCommand"
"21495","BattleStationStatusCommand"
"10084","BeaconCommand"
"19265","BoostedAttributeTypeModule"
"26950","BoosterTypeModule"
"6195","BoosterUpdateModule"
"26197","ClanChangedCommand"
"27378","ClanRelationModule"
"14030","class_11d"
"31992","class_533"
"4323","class_592"
"2015","class_84I"
"29864","class_F2I"
"3946","class_g1a"
"30023","class_h2P"
"11118","class_h45"
"25086","class_H4Q"
"11298","class_i1d"
"3372","class_I1W"
"702","class_K18"
"32428","class_o3q"
"26611","class_O4f"
"25425","class_oS"
"16435","class_p2k"
"26667","class_s16"
"21683","class_y2t"
"10720","class_y3i"
"21788","ClientUIMenuBarModule"
"23269","ClientUISlotBarCategoryItemModule"
"12754","ClientUISlotBarCategoryItemStatusModule"
"31208","ClientUISlotBarCategoryItemTimerModule"
"686","ClientUISlotBarCategoryItemTimerStateModule"
"23559","ClientUISlotBarCategoryModule"
"14620","ClientUISlotBarItemModule"
"30741","ClientUISlotBarModule"
"30106","ClientUISlotBarsCommand"
"1059","ClientUITextReplacementModule"
"18572","ClientUITooltipModule"
"11246","ClientUITooltipsCommand"
"24892","ClientUITooltipTextFormatModule"
"7725","command_e4W"
"8689","ContactsListUpdateCommand"
"7786","CooldownTypeModule"
"31812","CpuInitializationCommand"
"18425","CreateBoxCommand"
"20288","CreatePortalCommand"
"19134","DestructionTypeModule"
"16484","DisplaySettingsModule"
"25477","DisposeBoxCommand"
"4159","DroneFormationChangeCommand"
"14350","EquippedModulesModule"
"6949","EquipReadyCommand"
"0","ExampleCommand"
"0","ExampleModule"
"2289","FactionModule"
"20988","GameplaySettingsModule"
"18885","GroupChangeLeaderCommand"
"2496","GroupInitializationCommand"
"19280","GroupInvitationBehaviorModule"
"596","GroupInviteCommand"
"20661","GroupPingCommand"
"2150","GroupPlayerClanModule"
"30963","GroupPlayerDisconnectedModule"
"32090","GroupPlayerHadesGateModule"
"27245","GroupPlayerInCombatModule"
"25891","GroupPlayerInformationsModule"
"14175","GroupPlayerLeaveCommand"
"20116","GroupPlayerLocationModule"
"29105","GroupPlayerModule"
"27619","GroupPlayerShipModule"
"29238","GroupPlayerTargetModule"
"25158","GroupRemoveCommand"
"2978","GroupRemoveInvitationCommand"
"21555","GroupUpdateBlockInvitationState"
"19280","GroupUpdateInvitationBehaviorCommand"
"14575","GroupUpdateUICommand"
"17707","HeroMoveCommand"
"894","InfiltrationStatusCommand"
"3574","JumpCPUPriceMappingModule"
"19147","JumpCPUUpdateCommand"
"31092","KillScreenOptionModule"
"11653","KillScreenOptionTypeModule"
"10114","KillScreenPostCommand"
"4224","LegacyModule"
"19125","LevelUpCommand"
"7240","MapAddPOICommand"
"30787","MapAssetActionAvailableCommand"
"27912","MapRemovePOICommand"
"11751","MessageLocalizedWildcardCommand"
"1059","MessageWildcardReplacementModule"
"52","MineCreateCommand"
"29819","MoveCommand"
"15462","OutOfBattleStationRangeCommand"
"11623","ParseFeaturesMenuData"
"21825","PetActivationCommand"
"8216","PetExperiencePointsUpdateCommand"
"28351","PetGearAddCommand"
"18610","PetGearSelectCommand"
"18943","PetGearTypeModule"
"32409","PetHeroActivationCommand"
"29823","PetHitpointsUpdateCommand"
"9174","PetInitializationCommand"
"32334","PetRepairCompleteCommand"
"24674","PetShieldUpdateCommand"
"22037","PetStatusCommand"
"4330","PetUIRepairButtonCommand"
"20985","PlayGenericSoundCommand"
"20767","POIDesignModule"
"29441","POITypeModule"
"10487","PriceModule"
"21137","QualitySettingsModule"
"31344","RemoveMenuItemHighlightCommand"
"31113","RemovePortalCommand"
"4082","SetSpeedCommand"
"7270","ShipCreateCommand"
"25099","ShipDeselectionCommand"
"22038","ShipDestroyedCommand"
"7511","ShipInitializationCommand"
"19797","ShipRemoveCommand"
"11468","ShipSelectionCommand"
"8468","StationModuleModule"
"7717","Uba047Module"
"8290","Uba43GModule"
"13691","Uba64iModule"
"21233","UbaD26Module"
"18631","Ubaf3kModule"
"17524","UbaG3FModule"
"5776","UbahsModule"
"28373","UbaHtModule"
"3383","UbaJ39Module"
"11744","Ubal4bModule"
"17423","UbaM1tModule"
"14585","Ubas3wModule"
"21125","UbaWindowInitializationCommand"
"27641","Ubaz3QModule"
"2072","UpdateMenuItemCooldownGroupTimerCommand"
"14317","UpdateWindowItemCommand"
"423","UserKeyBindingsModule"
"13016","UserKeyBindingsUpdateCommand"
"18381","UserSettingsCommand"
"1271","VideoWindowCreateCommand"
"12647","VisualModifierCommand"
"1110","WindowSettingsModule"
