"Id","Direction","Class"
"2643","server->client","AbilityEffectActivationCommand"
"19907","server->client","AbilityEffectDeActivationCommand"
"2586","server->client","AbilityStopCommand"
"2310","server->client","ActivatePortalCommand"
"14222","server->client","AddMenuItemHighlightCommand"
"31290","server->client","ArenaStatusCommand"
"13718","server->client","AssetCreateCommand"
"8437","server->client","AssetInfoCommand"
"3397","server->client","AssetRemoveCommand"
"15758","server->client","AssetTypeModule"
"1995","server->client","AsteroidProgressCommand"
"3758","server->client","AttackHitCommand"
"28127","server->client","AttackLaserRunCommand"
"9360","server->client","AttackMissedCommand"
"32205","server->client","AttackTypeModule"
"6518","server->client","AttributeBoosterUpdateCommand"
"15997","server->client","AttributeHitpointUpdateCommand"
"4550","server->client","AttributeShieldUpdateCommand"
"4062","server->client","AttributeSkillShieldUpdateCommand"
"27262","server->client","AudioSettingsModule"
"1421","server->client","AvailableModulesCommand"
"4873","server->client","BattleStationBuildingStateCommand"
"770","server->client","BattleStationBuildingUiInitializationCommand"
"20259","server->client","BattleStationErrorCommand"
"30947","server->client","BattleStationManagementUiInitializationCommand"
"3062","server->client","BattleStationNoClanUiInitializationCommand"
"21495","server->client","BattleStationStatusCommand"
"10084","server->client","BeaconCommand"
"19265","server->client","BoostedAttributeTypeModule"
"26950","server->client","BoosterTypeModule"
"6195","server->client","BoosterUpdateModule"
"26197","server->client","ClanChangedCommand"
"27378","server->client","ClanRelationModule"
"14030","server->client","class_11d"
"31992","server->client","class_533"
"4323","server->client","class_592"
"2015","server->client","class_84I"
"29864","server->client","class_F2I"
"3946","server->client","class_g1a"
"30023","server->client","class_h2P"
"11118","server->client","class_h45"
"25086","server->client","class_H4Q"
"11298","server->client","class_i1d"
"3372","server->client","class_I1W"
"702","server->client","class_K18"
"32428","server->client","class_o3q"
"26611","server->client","class_O4f"
"25425","server->client","class_oS"
"16435","server->client","class_p2k"
"26667","server->client","class_s16"
"21683","server->client","class_y2t"
"10720","server->client","class_y3i"
"21788","server->client","ClientUIMenuBarModule"
"23269","server->client","ClientUISlotBarCategoryItemModule"
"12754","server->client","ClientUISlotBarCategoryItemStatusModule"
"31208","server->client","ClientUISlotBarCategoryItemTimerModule"
"686","server->client","ClientUISlotBarCategoryItemTimerStateModule"
"23559","server->client","ClientUISlotBarCategoryModule"
"14620","server->client","ClientUISlotBarItemModule"
"30741","server->client","ClientUISlotBarModule"
"30106","server->client","ClientUISlotBarsCommand"
"1059","server->client","ClientUITextReplacementModule"
"18572","server->client","ClientUITooltipModule"
"11246","server->client","ClientUITooltipsCommand"
"24892","server->client","ClientUITooltipTextFormatModule"
"7725","server->client","command_e4W"
"8689","server->client","ContactsListUpdateCommand"
"7786","server->client","CooldownTypeModule"
"31812","server->client","CpuInitializationCommand"
"18425","server->client","CreateBoxCommand"
"20288","server->client","CreatePortalCommand"
"19134","server->client","DestructionTypeModule"
"16484","server->client","DisplaySettingsModule"
"25477","server->client","DisposeBoxCommand"
"4159","server->client","DroneFormationChangeCommand"
"14350","server->client","EquippedModulesModule"
"6949","server->client","EquipReadyCommand"
"0","server->client","ExampleCommand"
"0","server->client","ExampleModule"
"2289","server->client","FactionModule"
"20988","server->client","GameplaySettingsModule"
"18885","server->client","GroupChangeLeaderCommand"
"2496","server->client","GroupInitializationCommand"
"19280","server->client","GroupInvitationBehaviorModule"
"596","server->client","GroupInviteCommand"
"20661","server->client","GroupPingCommand"
"2150","server->client","GroupPlayerClanModule"
"30963","server->client","GroupPlayerDisconnectedModule"
"32090","server->client","GroupPlayerHadesGateModule"
"27245","server->client","GroupPlayerInCombatModule"
"25891","server->client","GroupPlayerInformationsModule"
"14175","server->client","GroupPlayerLeaveCommand"
"20116","server->client","GroupPlayerLocationModule"
"29105","server->client","GroupPlayerModule"
"27619","server->client","GroupPlayerShipModule"
"29238","server->client","GroupPlayerTargetModule"
"25158","server->client","GroupRemoveCommand"
"2978","server->client","GroupRemoveInvitationCommand"
"21555","server->client","GroupUpdateBlockInvitationState"
"19280","server->client","GroupUpdateInvitationBehaviorCommand"
"14575","server->client","GroupUpdateUICommand"
"17707","server->client","HeroMoveCommand"
"894","server->client","InfiltrationStatusCommand"
"3574","server->client","JumpCPUPriceMappingModule"
"19147","server->client","JumpCPUUpdateCommand"
"31092","server->client","KillScreenOptionModule"
"11653","server->client","KillScreenOptionTypeModule"
"10114","server->client","KillScreenPostCommand"
"4224","server->client","LegacyModule"
"19125","server->client","LevelUpCommand"
"7240","server->client","MapAddPOICommand"
"30787","server->client","MapAssetActionAvailableCommand"
"27912","server->client","MapRemovePOICommand"
"11751","server->client","MessageLocalizedWildcardCommand"
"1059","server->client","MessageWildcardReplacementModule"
"52","server->client","MineCreateCommand"
"29819","server->client","MoveCommand"
"15462","server->client","OutOfBattleStationRangeCommand"
"11623","server->client","ParseFeaturesMenuData"
"21825","server->client","PetActivationCommand"
"8216","server->client","PetExperiencePointsUpdateCommand"
"28351","server->client","PetGearAddCommand"
"18610","server->client","PetGearSelectCommand"
"18943","server->client","PetGearTypeModule"
"32409","server->client","PetHeroActivationCommand"
"29823","server->client","PetHitpointsUpdateCommand"
"9174","server->client","PetInitializationCommand"
"32334","server->client","PetRepairCompleteCommand"
"24674","server->client","PetShieldUpdateCommand"
"22037","server->client","PetStatusCommand"
"4330","server->client","PetUIRepairButtonCommand"
"20985","server->client","PlayGenericSoundCommand"
"20767","server->client","POIDesignModule"
"29441","server->client","POITypeModule"
"10487","server->client","PriceModule"
"21137","server->client","QualitySettingsModule"
"31344","server->client","RemoveMenuItemHighlightCommand"
"31113","server->client","RemovePortalCommand"
"4082","server->client","SetSpeedCommand"
"7270","server->client","ShipCreateCommand"
"25099","server->client","ShipDeselectionCommand"
"22038","server->client","ShipDestroyedCommand"
"7511","server->client","ShipInitializationCommand"
"19797","server->client","ShipRemoveCommand"
"11468","server->client","ShipSelectionCommand"
"8468","server->client","StationModuleModule"
"7717","server->client","Uba047Module"
"8290","server->client","Uba43GModule"
"13691","server->client","Uba64iModule"
"21233","server->client","UbaD26Module"
"18631","server->client","Ubaf3kModule"
"17524","server->client","UbaG3FModule"
"5776","server->client","UbahsModule"
"28373","server->client","UbaHtModule"
"3383","server->client","UbaJ39Module"
"11744","server->client","Ubal4bModule"
"17423","server->client","UbaM1tModule"
"14585","server->client","Ubas3wModule"
"21125","server->client","UbaWindowInitializationCommand"
"27641","server->client","Ubaz3QModule"
"2072","server->client","UpdateMenuItemCooldownGroupTimerCommand"
"14317","server->client","UpdateWindowItemCommand"
"423","server->client","UserKeyBindingsModule"
"13016","server->client","UserKeyBindingsUpdateCommand"
"18381","server->client","UserSettingsCommand"
"1271","server->client","VideoWindowCreateCommand"
