asset,role,tris,verts_stored,verts_welded,vertex_split_ratio,edges,islands,render_objects,anchor_objects,materials,largest_island_tri_share,island_bbox_overlaps,planar_islands,open_shell,boundary_edges,nonmanifold_edges,degenerate_tris,duplicate_faces,quads_detected,quad_tri_ratio,ngon_clusters_ge3,hard_edges_gt30,hard_edge_ratio,mean_dihedral_deg,stores_normals,stores_uv,has_skeleton,vertex_anim_blocks,uv_coverage,uv_overlap_factor,uv_tiled,texel_density_iqr_ratio,bbox_x,bbox_y,bbox_z,bbox_diag,flatness_ratio,best_mirror,best_mirror_frac,tri_share_y_upper_half,tri_share_outer_third_radial,tris_visible_gamecam,hidden_gamecam_ratio,silhouette_band_tri_share,tri_share_for_90pct_pixels,tris_never_visible,interior_tri_ratio,game_scale,px_per_unit,screen_px_height,subpixel_tri_ratio,median_tri_px,tex_settings,tex_px_low,tex_px_med,tex_px_high,tex_channels,tex_files,tex_max_px,round_pieces,round_segments_median,round_segments_max,sphere_pieces,flat_pieces,texels_per_tri_high,object_names,material_names
mimesis,(no referenciado),6925,7463,3934,1.897,10693,137,8,4,10,0.056,291,0,True,611,0,0,0,2534,0.732,256,4464,0.443,34.89,True,True,True,2,0.9669,5.09,False,1.27,164.60012817382812,68.72025299072266,200.8634262084961,268.6294685140957,0.342,mirror_x0,0.304,0.362,0.183,1835,0.735,0.406,0.102,1039,0.15,,,,,,,,,,normal+specular,6,512,4,6,6,0,0,,shipMesh|<orphan:geometry>|<orphan:geometry>|<orphan:geometry>|<orphan:geometry>|<orphan:geometry>|<orphan:geometry>|<orphan:null>,Material1|engine_0|laserpoint_centerFront|laserpoint_centerRear|laserpoint_leftFrontOuter|laserpoint_leftRearInner|laserpoint_rightFrontOuter|laserpoint_rightRearInner|laserpoint_standard|light_position
tartarus,(no referenciado),4218,4716,2246,2.1,6344,34,11,6,5,0.564,38,0,True,277,12,9,72,1200,0.57,146,2022,0.334,26.08,True,True,False,0,0.9262,6.54,False,1.29,263.9257049560547,75.45700073242188,203.69940185546875,341.8244915338263,0.286,mirror_x0,0.997,0.741,0.219,2320,0.45,0.251,0.242,261,0.062,,,,,,,,,,glow+normal+specular,10,1024,4,18,18,5,0,,dockingPoint_9|dockingPoint_8|dockingPoint_7|dockingPoint_6|dockingPoint_5|dockingPoint_4|dockingPoint_3|dockingPoint_2|dockingPoint_1|dockingPoint_0|ship_tartarus,leftFrontInner|leftRearOuter|rightFrontInner|rightRearOuter|ship_tartarus
hammerclaw,(no referenciado),2824,3442,1527,2.254,4223,37,4,0,0,0.122,60,0,True,226,0,84,0,1037,0.757,129,1559,0.39,28.4,True,True,False,0,0.8729,612.71,True,1.54,83.28659057617188,62.97754669189453,133.48460388183594,169.47261439720367,0.472,mirror_xc,0.94,0.56,0.149,839,0.703,0.303,0.102,317,0.112,,,,,,,,,,diffuse+glow+normal+specular,12,512,6,8,18,0,0,,ship_clawhammer|laserpoint_centerFront|engine_1|engine_0,
cyborg,(no referenciado),2279,3600,1424,2.528,3603,80,6,0,0,0.068,127,0,True,375,0,2,0,792,0.696,93,1649,0.511,40.66,True,True,False,0,0.8681,1025.94,True,1.37,131.99339294433594,53.53289985656738,103.28759765625,175.94418142584462,0.406,mirror_x0,0.98,0.534,0.185,1055,0.537,0.389,0.211,106,0.047,,,,,,,,,,diffuse+glow+normal+specular,12,512,6,6,6,2,0,,laserpoint_leftFrontInner|laserpoint_rightFrontInner|engine_0|engine_1|cyborg_ship|laserpoint_centerFront,
solarsegel,(no referenciado),2244,4204,1278,3.29,3686,22,1,0,0,0.064,13,0,True,640,0,0,0,868,0.774,144,950,0.312,22.29,True,True,False,0,0.0966,8.22,False,1.06,69.7921257019043,11.238671779632568,297.68751525878906,305.965856419164,0.038,mirror_x0,0.11,0.711,0.26,698,0.689,0.847,0.079,23,0.01,,,,,,,,,,,0,,0,,,0,0,,main,
streuner-blockzone03,(no referenciado),2152,2913,1327,2.195,3400,64,1,0,0,0.063,132,0,True,353,0,3,0,725,0.675,111,1512,0.496,37.78,True,True,False,0,0.8237,1.99,False,4.34,694.7588500976562,1010.4017944335938,416.34521484375,1294.9691053870483,1.454,mirror_yc,0.028,0.761,0.246,531,0.753,0.388,0.059,220,0.102,,,,,,,,,,diffuse+glow+normal+specular,12,512,17,4,6,0,0,,lowpoly_ingame,
streuner-blockzone02,(no referenciado),2146,2935,1356,2.164,3412,72,1,0,0,0.063,164,0,True,395,0,3,0,707,0.66,100,1545,0.512,37.16,True,True,False,0,0.7495,1.74,False,3.54,566.3758850097656,867.1162109375,396.64239501953125,1109.05245859609,1.531,mirror_z0,0.024,0.653,0.366,851,0.603,0.287,0.097,198,0.092,,,,,,,,,,diffuse+glow+normal+specular,12,512,18,4,6,0,0,,ingame,
streuner-blockzone01,(no referenciado),2122,2868,1335,2.148,3373,68,1,0,0,0.064,136,0,True,389,0,3,0,645,0.609,85,1484,0.497,36.63,True,True,False,0,0.8215,1.7,False,3.34,355.0359344482422,598.8515930175781,401.0340118408203,803.4314058227814,1.493,mirror_yc,0.011,0.634,0.484,858,0.596,0.262,0.116,150,0.071,,,,,,,,,,diffuse+glow+normal+specular,12,512,14,4,6,0,0,,lowpoly_ingame,
goliath-x,(no referenciado),1970,2570,1205,2.133,3098,60,1,7,0,0.088,103,0,True,292,0,2,0,554,0.563,87,1332,0.475,37.28,True,True,False,0,0.6177,1.56,False,1.44,106.3838005065918,39.85200023651123,141.68679809570312,181.60628757752235,0.281,mirror_x0,1.0,0.495,0.393,702,0.644,0.493,0.148,97,0.049,,,,,,,,,,diffuse+glow+normal+specular,12,512,17,6,6,0,0,,goliath_x_design_legend_lowpoly,
anihilator,(no referenciado),1927,2605,1459,1.785,3255,131,1,0,1,0.224,310,0,True,731,2,0,0,356,0.369,11,1280,0.508,45.28,True,True,False,0,0.7889,0.82,True,1.32,323.6339874267578,158.38349151611328,132.77666473388672,383.99730585048707,0.489,mirror_z0,0.029,0.343,0.158,740,0.616,0.524,0.156,55,0.029,,,,,,,,,,,0,,6,6,6,0,0,,annihilator,annihilator
