asset,file_kb,awd_version,compressed,geometry_blocks,mesh_objects,render_objects,anchor_objects,anchor_tris,materials,material_names,object_names,has_skeleton,vertex_anim_blocks,embedded_textures,stream_types,stores_normals,stores_uv,stores_uv1,stores_skin,bbox_x,bbox_y,bbox_z,bbox_diag,verts_stored,verts_welded,vertex_split_ratio,tris,degenerate_tris,duplicate_faces,edges,boundary_edges,nonmanifold_edges,open_shell,euler_chi,surface_area,manifold_edge_pairs,hard_edges_gt30,hard_edge_ratio,mean_dihedral_deg,quads_detected,quad_tri_ratio,tris_not_in_quad,coplanar_clusters,max_coplanar_cluster_tris,ngon_clusters_ge3,tris_in_flat_clusters_ge3,islands,largest_island_tri_share,planar_islands,island_bbox_overlaps,has_uv,uv_min_u,uv_max_u,uv_min_v,uv_max_v,uv_tiled,uv_area_sum,uv_coverage,uv_overlap_factor,uv_seam_ratio,texel_density_p50,texel_density_iqr_ratio,has_normals_stream,mirror_x0,mirror_xc,mirror_y0,mirror_yc,mirror_z0,mirror_zc,best_mirror,best_mirror_frac,rot_sym_order,rot_sym_axis,rot_sym_frac,tri_share_x_upper_half,tri_share_y_upper_half,tri_share_z_upper_half,tri_share_outer_third_radial,area_share_outer_third_radial
O-BL-DQ-1_ore,2.3,2.1,1,1,1,1,0,0,1,Object001,Object001,False,0,0,1|2|3,False,True,False,False,30.447200775146484,66.79059982299805,30.447200775146484,79.46727813886687,336,76,4.421,168,0,0,252,0,0,False,-8,5801.119142386291,252,170,0.675,60.78,31,0.369,106,137,2,0,0,3,0.857,0,3,True,0.01600000075995922,0.9890000224113464,0.02449999935925007,0.9596999883651733,False,2.574,0.8667,2.97,0.774,0.0191,24430517.46,False,0.789,0.789,0.763,0.053,0.789,0.789,mirror_x0,0.789,0,,0.0,0.506,0.506,0.464,0.571,0.501
O-BL-MG-1_ore,0.6,2.1,1,1,1,1,0,0,1,Object002,Object002,False,0,0,1|2|3,False,True,False,False,126.09339904785156,157.5832061767578,39.372398376464844,205.62635508684764,36,12,3.0,20,0,0,30,0,0,False,2,28758.132679569986,30,18,0.6,59.15,10,1.0,0,8,4,2,8,1,1.0,0,0,True,0.013799999840557575,0.9929999709129333,0.019999999552965164,0.9871000051498413,False,0.5598,0.5699,0.98,0.667,0.00322,2.08,False,0.0,0.0,0.167,0.167,1.0,1.0,mirror_z0,1.0,0,,0.0,0.5,0.6,0.5,0.5,0.634
apocalypse_booty_box,2.0,2.1,1,1,1,1,0,0,1,Group5574,Group5574,False,0,0,1|2|3,False,True,False,False,8.265100002288818,5.653599977493286,4.742000102996826,11.079785003788142,134,76,1.763,148,0,0,222,0,0,False,2,164.7051985105674,222,96,0.432,34.56,74,1.0,0,37,24,15,104,1,1.0,0,0,True,0.00989999994635582,0.9835000038146973,0.009999999776482582,0.9652000069618225,False,0.576,0.6387,0.9,0.433,0.05284,1.13,False,0.947,0.947,0.684,0.0,1.0,1.0,mirror_z0,1.0,0,,0.0,0.5,0.459,0.5,0.432,0.489
fx_absorbtion_beam,0.7,2.1,1,1,1,1,0,0,1,fx_absorbtion_beam,fx_absorbtion_beam,False,0,0,1|2|3,False,True,False,False,30.209556579589844,0.0,74.5969467163086,80.48181016932475,24,24,1.0,22,0,0,45,24,0,True,1,859.7043666152622,21,0,0.0,0.0,11,1.0,0,1,22,1,22,1,1.0,1,0,True,0.19303399324417114,0.8587599992752075,0.004654999822378159,0.9953449964523315,False,0.4573,0.5065,0.9,0.0,0.02289,1.21,False,0.0,0.0,1.0,1.0,0.083,0.083,mirror_y0,1.0,0,,0.0,0.273,0.0,0.5,0.455,0.335
fx_aurum,0.7,2.1,1,1,1,1,0,0,1,Cylinder003,Cylinder003,False,0,0,1|2|3,False,True,False,False,45.945106506347656,52.48756980895996,41.14459991455078,80.98626981444772,54,18,3.0,24,0,0,36,0,0,False,6,10044.643619585386,36,27,0.75,75.0,9,0.75,6,15,2,0,0,3,0.333,0,1,True,0.04825900122523308,0.9793180227279663,0.013439999893307686,0.9768790006637573,False,1.8649,0.7695,2.42,0.667,0.01273,1.13,False,0.056,0.111,0.0,0.0,0.056,0.111,mirror_xc,0.111,0,,0.0,0.667,0.5,0.5,0.417,0.464
fx_beacon_bottom_earth,8.9,2.1,1,1,1,1,0,0,1,fx_beacon_bottom_earth,fx_beacon_bottom_earth,False,0,0,1|2|3,False,True,False,False,23.460020065307617,23.94683074951172,25.9544677734375,42.3964343054083,1121,674,1.663,896,0,0,1556,424,0,True,14,3257.010910840372,1132,300,0.265,20.45,338,0.754,220,427,16,23,280,28,0.116,12,67,True,-0.9242590069770813,1.9585039615631104,9.999999747378752e-06,0.9355419874191284,True,3.4541,0.4904,7.04,0.399,0.03272,3.25,False,1.0,1.0,0.0,0.742,1.0,1.0,mirror_x0,1.0,0,,0.0,0.5,0.522,0.5,0.848,0.743
fx_beacon_bottom_mars,6.3,2.1,1,1,1,1,0,0,1,fx_beacon_bottom_mars,fx_beacon_bottom_mars,False,0,0,1|2|3,False,True,False,False,39.25570297241211,61.640480041503906,39.25570487976074,82.95522503864454,788,304,2.592,498,0,0,783,72,0,True,19,5063.113961069754,711,276,0.388,27.6,229,0.92,40,135,48,14,292,18,0.687,0,17,True,0.003963999915868044,1.0,0.0038960000965744257,0.9637110233306885,False,1.1819,0.2047,5.77,0.614,0.00927,2.44,False,1.0,1.0,0.0,0.0,1.0,1.0,mirror_x0,1.0,0,,0.0,0.484,0.723,0.516,0.048,0.067
fx_beacon_bottom_venus,5.2,2.1,1,1,1,1,0,0,1,fx_beacon_bottom_venus,fx_beacon_bottom_venus,False,0,0,1|2|3,False,True,False,False,25.69942283630371,62.99420166015625,25.69942283630371,72.72681837560812,449,278,1.615,524,0,0,786,0,0,False,16,6348.780857661544,786,208,0.265,27.24,141,0.538,242,366,6,14,52,8,0.305,0,10,True,0.011285999789834023,0.9082940220832825,-0.0008549999911338091,0.7355290055274963,False,1.352,0.2918,4.63,0.381,0.01158,1.21,False,0.525,0.525,0.0,0.0,0.525,0.525,mirror_x0,0.525,4,y,1.0,0.5,0.718,0.5,0.573,0.588
fx_beacon_glow_blue,1.0,2.1,1,1,1,1,0,0,1,fx_beacon_glow_blue,fx_beacon_glow_blue,False,0,0,1|2|3,False,True,False,False,27.92394256591797,31.768542428711044,27.92394256591797,50.68267381358431,65,65,1.0,60,0,0,114,48,0,True,11,258.7726839015272,66,16,0.242,18.79,26,0.867,8,34,2,0,0,11,0.667,10,1,True,0.47814199328422546,0.4949910044670105,0.9012020230293274,0.9219539761543274,False,0.0004,0.0004,0.94,0.0,0.00189,2.28,False,1.0,1.0,0.015,0.0,1.0,1.0,mirror_x0,1.0,4,y,1.0,0.5,0.667,0.5,0.067,0.792
fx_beacon_glow_green,1.0,2.1,1,1,1,1,0,0,1,fx_beacon_glow_green,fx_beacon_glow_green,False,0,0,1|2|3,False,True,False,False,27.92394256591797,31.768542428711044,27.92394256591797,50.68267381358431,65,65,1.0,60,0,0,114,48,0,True,11,258.7726839015272,66,16,0.242,18.79,26,0.867,8,34,2,0,0,11,0.667,10,1,True,0.6550419926643372,0.6718909740447998,0.9012020230293274,0.9219539761543274,False,0.0004,0.0005,0.82,0.0,0.00189,2.28,False,1.0,1.0,0.015,0.0,1.0,1.0,mirror_x0,1.0,4,y,1.0,0.5,0.667,0.5,0.067,0.792
