file,asset,channel,name_size,width,height,mips,format,format_id,cube,bytes
aegis-eic-elite_diffuse_128.atf,aegis-eic-elite,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11192
aegis-eic-elite_diffuse_256.atf,aegis-eic-elite,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,37144
aegis-eic-elite_diffuse_512.atf,aegis-eic-elite,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,133565
aegis-eic-veteran_diffuse_128.atf,aegis-eic-veteran,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11909
aegis-eic-veteran_diffuse_256.atf,aegis-eic-veteran,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,39558
aegis-eic-veteran_diffuse_512.atf,aegis-eic-veteran,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,139598
aegis-eic_diffuse_128.atf,aegis-eic,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11287
aegis-eic_diffuse_256.atf,aegis-eic,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,37564
aegis-eic_diffuse_512.atf,aegis-eic,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,136515
aegis-elite-mmo_glow_128.atf,aegis-elite-mmo,glow,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,6045
aegis-elite-mmo_glow_256.atf,aegis-elite-mmo,glow,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,13887
aegis-elite-mmo_glow_512.atf,aegis-elite-mmo,glow,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,37004
aegis-elite_design_a-elite-blaze_diffuse_128.atf,aegis-elite_design_a-elite-blaze,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,12527
aegis-elite_design_a-elite-blaze_diffuse_256.atf,aegis-elite_design_a-elite-blaze,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,40401
aegis-elite_design_a-elite-blaze_diffuse_512.atf,aegis-elite_design_a-elite-blaze,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,142213
aegis-elite_design_a-elite-lava_diffuse_128.atf,aegis-elite_design_a-elite-lava,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,10597
aegis-elite_design_a-elite-lava_diffuse_256.atf,aegis-elite_design_a-elite-lava,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,33953
aegis-elite_design_a-elite-lava_diffuse_512.atf,aegis-elite_design_a-elite-lava,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,118740
aegis-elite_design_a-elite-lava_glow_128.atf,aegis-elite_design_a-elite-lava,glow,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,4824
aegis-elite_design_a-elite-lava_glow_256.atf,aegis-elite_design_a-elite-lava,glow,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,9317
aegis-elite_design_a-elite-lava_glow_512.atf,aegis-elite_design_a-elite-lava,glow,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,19118
aegis-elite_design_a-elite-legend_diffuse_128.atf,aegis-elite_design_a-elite-legend,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11683
aegis-elite_design_a-elite-legend_diffuse_256.atf,aegis-elite_design_a-elite-legend,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,38328
aegis-elite_design_a-elite-legend_diffuse_512.atf,aegis-elite_design_a-elite-legend,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,135496
aegis-elite_design_a-elite-legend_glow_128.atf,aegis-elite_design_a-elite-legend,glow,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11567
aegis-elite_design_a-elite-legend_glow_256.atf,aegis-elite_design_a-elite-legend,glow,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,34208
aegis-elite_design_a-elite-legend_glow_512.atf,aegis-elite_design_a-elite-legend,glow,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,104253
aegis-elite_design_a-elite-ocean_diffuse_128.atf,aegis-elite_design_a-elite-ocean,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,12374
aegis-elite_design_a-elite-ocean_diffuse_256.atf,aegis-elite_design_a-elite-ocean,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,39857
aegis-elite_design_a-elite-ocean_diffuse_512.atf,aegis-elite_design_a-elite-ocean,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,139924
